=== LOG MONITORAGGIO RISORSE JARVIS ===
Timestamp           | CPU Processo (%) | RAM Usata (MB) | RAM (% di Sistema) | Thread Attivi
-------------------------------------------------------------------------------------
2026-07-20 23:48:52 | CPU:          14.80% | RAM:     676.80 MB | RAM Sys:         4.41% | Threads: 9
2026-07-20 23:48:53 | CPU:           6.00% | RAM:     677.32 MB | RAM Sys:         4.41% | Threads: 9
2026-07-20 23:48:54 | CPU:          16.00% | RAM:     697.66 MB | RAM Sys:         4.55% | Threads: 9
2026-07-20 23:48:55 | CPU:          15.00% | RAM:     714.55 MB | RAM Sys:         4.66% | Threads: 9
2026-07-20 23:48:56 | CPU:           3.00% | RAM:     714.87 MB | RAM Sys:         4.66% | Threads: 9
2026-07-20 23:48:57 | CPU:           3.00% | RAM:     715.18 MB | RAM Sys:         4.66% | Threads: 9
2026-07-20 23:48:58 | CPU:           3.00% | RAM:     715.46 MB | RAM Sys:         4.66% | Threads: 9
2026-07-20 23:48:59 | CPU:           3.00% | RAM:     715.77 MB | RAM Sys:         4.66% | Threads: 9
2026-07-20 23:49:00 | CPU:           4.00% | RAM:     716.36 MB | RAM Sys:         4.67% | Threads: 9
2026-07-20 23:49:01 | CPU:          40.00% | RAM:     730.43 MB | RAM Sys:         4.76% | Threads: 9
2026-07-20 23:49:02 | CPU:           1.00% | RAM:     730.44 MB | RAM Sys:         4.76% | Threads: 9
2026-07-20 23:49:03 | CPU:           3.00% | RAM:     730.58 MB | RAM Sys:         4.76% | Threads: 9
2026-07-20 23:49:04 | CPU:           1.00% | RAM:     730.80 MB | RAM Sys:         4.76% | Threads: 9
2026-07-20 23:49:05 | CPU:          19.00% | RAM:     734.77 MB | RAM Sys:         4.79% | Threads: 9
2026-07-20 23:49:06 | CPU:           9.00% | RAM:     735.58 MB | RAM Sys:         4.79% | Threads: 9
2026-07-20 23:49:07 | CPU:           9.00% | RAM:     736.33 MB | RAM Sys:         4.80% | Threads: 9
2026-07-20 23:49:08 | CPU:          10.00% | RAM:     737.11 MB | RAM Sys:         4.80% | Threads: 9
2026-07-20 23:49:09 | CPU:          12.00% | RAM:     737.90 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:10 | CPU:           3.00% | RAM:     737.76 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:11 | CPU:           2.00% | RAM:     737.76 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:12 | CPU:           3.00% | RAM:     737.76 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:13 | CPU:           2.00% | RAM:     737.76 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:14 | CPU:           4.00% | RAM:     737.86 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:15 | CPU:           4.00% | RAM:     738.39 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:16 | CPU:           2.00% | RAM:     738.64 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:17 | CPU:           2.00% | RAM:     738.66 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:18 | CPU:           0.00% | RAM:     738.66 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:19 | CPU:           1.00% | RAM:     738.68 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:20 | CPU:           2.00% | RAM:     738.69 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:21 | CPU:           2.00% | RAM:     738.69 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:22 | CPU:           2.00% | RAM:     738.71 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:23 | CPU:           2.00% | RAM:     738.75 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:24 | CPU:           1.00% | RAM:     738.78 MB | RAM Sys:         4.81% | Threads: 9
2026-07-20 23:49:25 | CPU:          44.00% | RAM:     741.36 MB | RAM Sys:         4.83% | Threads: 9
2026-07-20 23:49:26 | CPU:          10.00% | RAM:     741.36 MB | RAM Sys:         4.83% | Threads: 9
